district,population,phase1,phase2,phase3,phase4,phase5,phase3plus
Balaka,"518,003",40,30,30,0,0,30
Blantyre,"520,999",35,35,30,0,0,30
Blantyre city,"885,237",45,35,20,0,0,20
Chikhwawa,"640,808",25,30,40,5,0,45
Chiradzulu,"396,198",50,30,20,0,0,20
Chitipa,"260,584",85,10,5,0,0,5
Dedza,"947,812",75,15,10,0,0,10
Dowa,"901,525",55,35,10,0,0,10
Karonga,"414,100",60,30,10,0,0,10
Kasungu,"972,188",50,35,15,0,0,15
Likoma,"16,302",70,20,10,0,0,10
Lilongwe,"1,869,640",40,45,15,0,0,15
Lilongwe city,"1,199,718",45,40,15,0,0,15
Machinga,"904,135",35,35,30,0,0,30
Mangochi,"1,388,626",40,25,35,0,0,35
Mchinji,"686,764",45,40,15,0,0,15
Mulanje,"781,841",40,35,25,0,0,25
Mwanza,"156,942",35,35,30,0,0,30
Mzimba,"1,033,492",70,25,5,0,0,5
Mzuzu city,"284,880",50,35,15,0,0,15
Neno,"156,029",35,30,30,5,0,35
Nkhata bay,"314,810",65,25,10,0,0,10
Nkhotakota,"446,006",30,55,15,0,0,15
Nsanje,"332,131",30,30,35,5,0,40
Ntcheu,"775,834",60,25,15,0,0,15
Ntchisi,"376,921",55,35,10,0,0,10
Phalombe,"502,825",30,35,35,0,0,35
Rumphi,"259,391",75,20,5,0,0,5
Salima,"566,301",40,40,20,0,0,20
Thyolo,"793,786",40,30,30,0,0,30
Zomba,"847,624",30,40,30,0,0,30
Zomba city,"119,116",45,30,25,0,0,25
