district,population,phase1,phase2,phase3,phase4,phase5,phase3plus
Balaka,"518,003",20,35,40,5,0,45
Blantyre,"520,999",25,35,35,5,0,40
Blantyre city,"885,237",35,40,25,0,0,25
Chikhwawa,"640,808",20,20,45,15,0,60
Chiradzulu,"396,198",30,40,30,0,0,30
Chitipa,"260,584",80,10,10,0,0,10
Dedza,"947,812",60,25,15,0,0,15
Dowa,"901,525",50,35,15,0,0,15
Karonga,"414,100",50,35,15,0,0,15
Kasungu,"972,188",40,40,20,0,0,20
Likoma,"16,302",65,20,15,0,0,15
Lilongwe,"1,869,640",35,40,25,0,0,25
Lilongwe city,"1,199,718",35,45,20,0,0,20
Machinga,"904,135",30,30,35,5,0,40
Mangochi,"1,388,626",35,25,35,5,0,40
Mchinji,"686,764",35,45,20,0,0,20
Mulanje,"781,841",35,30,35,0,0,35
Mwanza,"156,942",30,30,35,5,0,40
Mzimba,"1,033,492",60,30,10,0,0,10
Mzuzu city,"284,880",45,35,20,0,0,20
Neno,"156,029",30,30,35,5,0,40
Nkhata bay,"314,810",55,30,15,0,0,15
Nkhotakota,"446,006",25,55,20,0,0,20
Nsanje,"332,131",30,20,45,5,0,50
Ntcheu,"775,834",50,30,20,0,0,20
Ntchisi,"376,921",45,40,15,0,0,15
Phalombe,"502,825",25,35,40,0,0,40
Rumphi,"259,391",65,25,10,0,0,10
Salima,"566,301",35,35,30,0,0,30
Thyolo,"793,786",35,25,35,5,0,40
Zomba,"847,624",30,30,35,5,0,40
Zomba city,"119,116",40,30,30,0,0,30
