ADD,EPA,District ,Market,Month,Year,Commodity,Price
Karonga,Misuku,Chitipa,Misuku,January,2024,Beans,1465.254
Karonga,Kavukuku,Chitipa,Nthalire,January,2024,Beans,
Karonga,Lufita,Chitipa,Chitipa,January,2024,Beans,
Karonga,Mpata,Karonga,Karonga,January,2024,Beans,1890.57
Karonga,Vinthukutu,Karonga,Chilumba,January,2024,Beans,
Mzuzu,Bolero,Rumphi,Rumphi,January,2024,Beans,
Mzuzu,Katowo,Rumphi,Hewe,January,2024,Beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,January,2024,Beans,2483.2
Mzuzu,Kazomba,Mzimba South,Mzimba,January,2024,Beans,
Mzuzu,Mbawa,Mzimba South,Embangweni,January,2024,Beans,2073.1
Mzuzu,Champhira,Mzimba South,Jenda,January,2024,Beans,2398.1
Mzuzu,Mpamba,Nkhata Bay,Mpamba,January,2024,Beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,January,2024,Beans,1225.25
Mzuzu,Chintheche,Nkhata Bay,Chintheche,January,2024,Beans,1962.57
Salima,Nkhunga,Nkhotakota,Dwangwa,January,2024,Beans,2400
Salima,Linga,Nkhotakota,Nkhotakota,January,2024,Beans,2500
Salima,Mwansambo,Nkhotakota,Mwansambo,January,2024,Beans,
Salima,Tembwe,Salima,Salima,January,2024,Beans,3200
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,2024,Beans,2262.5
Kasungu,Malomo,Ntchisi,Malomo,January,2024,Beans,2333.3
Kasungu,Nachisaka,Dowa East,Dowa,January,2024,Beans,
Kasungu,Mponela,Dowa West,Mponela,January,2024,Beans,
Kasungu,Madisi,Dowa West,Madisi,January,2024,Beans,
Kasungu,Bowe,Dowa West,Bowe,January,2024,Beans,
Kasungu,Nambuma,Dowa West,Nambuma,January,2024,Beans,
Kasungu,Santhe,Kasungu,Santhe,January,2024,Beans,
Kasungu,Chipala,Kasungu,Kasungu,January,2024,Beans,2300
Kasungu,Chamama,Kasungu,Chamama,January,2024,Beans,3500
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,2024,Beans,1996.52
Kasungu,Kaluluma,Kasungu,Chatoloma,January,2024,Beans,20042.23
Kasungu,Mkanda,Mchinji,Mkanda,January,2024,Beans,2600
Kasungu,Zulu,Mchinji,Mchinji,January,2024,Beans,3272.6
Lilongwe,Chilaza,Lilongwe West,Msundwe,January,2024,Beans,
Lilongwe,Demera,Lilongwe West,Kasiya,January,2024,Beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,January,2024,Beans,
Lilongwe,Mitundu,Lilongwe West,Mitundu,January,2024,Beans,2552
Lilongwe,Chitsime,Lilongwe East,Nanjiri,January,2024,Beans,1800
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,January,2024,Beans,
Lilongwe,Lobi,Dedza,Thete,January,2024,Beans,2200
Lilongwe,Mtakataka,Dedza,Mtakataka,January,2024,Beans,3000
