ADD,EPA,District ,Market,Month,Commodity,Price
Karonga,Misuku,Chitipa,Misuku,January,Cow peas,
Karonga,Kavukuku,Chitipa,Nthalire,January,Cow peas,
Karonga,Lufita,Chitipa,Chitipa,January,Cow peas,
Karonga,Mpata,Karonga,Karonga,January,Cow peas,1280.67
Karonga,Vinthukutu,Karonga,Chilumba,January,Cow peas,
Mzuzu,Bolero,Rumphi,Rumphi,January,Cow peas,
Mzuzu,Katowo,Rumphi,Hewe,January,Cow peas,
Mzuzu,Emsizini,Mzimba North,Mzuzu,January,Cow peas,
Mzuzu,Kazomba,Mzimba South,Mzimba,January,Cow peas,
Mzuzu,Mbawa,Mzimba South,Embangweni,January,Cow peas,
Mzuzu,Champhira,Mzimba South,Jenda,January,Cow peas,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,January,Cow peas,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,January,Cow peas,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,January,Cow peas,
Salima,Nkhunga,Nkhotakota,Dwangwa,January,Cow peas,1200
Salima,Linga,Nkhotakota,Nkhotakota,January,Cow peas,1000
Salima,Mwansambo,Nkhotakota,Mwansambo,January,Cow peas,
Salima,Tembwe,Salima,Salima,January,Cow peas,
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,Cow peas,
Kasungu,Malomo,Ntchisi,Malomo,January,Cow peas,
Kasungu,Nachisaka,Dowa East,Dowa,January,Cow peas,
Kasungu,Mponela,Dowa West,Mponela,January,Cow peas,
Kasungu,Madisi,Dowa West,Madisi,January,Cow peas,
Kasungu,Bowe,Dowa West,Bowe,January,Cow peas,
Kasungu,Nambuma,Dowa West,Nambuma,January,Cow peas,
Kasungu,Santhe,Kasungu,Santhe,January,Cow peas,
Kasungu,Chipala,Kasungu,Kasungu,January,Cow peas,
Kasungu,Chamama,Kasungu,Chamama,January,Cow peas,
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,Cow peas,
Kasungu,Kaluluma,Kasungu,Chatoloma,January,Cow peas,
Kasungu,Mkanda,Mchinji,Mkanda,January,Cow peas,
Kasungu,Zulu,Mchinji,Mchinji,January,Cow peas,
Lilongwe,Chilaza,Lilongwe West,Msundwe,January,Cow peas,
Lilongwe,Demera,Lilongwe West,Kasiya,January,Cow peas,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,January,Cow peas,
Lilongwe,Mitundu,Lilongwe West,Mitundu,January,Cow peas,1400
Lilongwe,Chitsime,Lilongwe East,Nanjiri,January,Cow peas,
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,January,Cow peas,
Lilongwe,Lobi,Dedza,Thete,January,Cow peas,1500
Lilongwe,Mtakataka,Dedza,Mtakataka,January,Cow peas,1100
Lilongwe,Linthipe,Dedza,Chimbiya,January,Cow peas,1150.17
Lilongwe,Bembeke,Dedza,Bembeke Turn off,January,Cow peas,780
Lilongwe,Njolomole,Ntcheu,Lizulu,January,Cow peas,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,January,Cow peas,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,January,Cow peas,
