ADD,EPA,District ,Market,Month,Year,Commodity,Price
Karonga,Misuku,Chitipa,Misuku,January,2024,Groundnuts,1637.49
Karonga,Kavukuku,Chitipa,Nthalire,January,2024,Groundnuts,
Karonga,Lufita,Chitipa,Chitipa,January,2024,Groundnuts,
Karonga,Mpata,Karonga,Karonga,January,2024,Groundnuts,1776.62
Karonga,Vinthukutu,Karonga,Chilumba,January,2024,Groundnuts,1953.21
Mzuzu,Bolero,Rumphi,Rumphi,January,2024,Groundnuts,
Mzuzu,Katowo,Rumphi,Hewe,January,2024,Groundnuts,
Mzuzu,Emsizini,Mzimba North,Mzuzu,January,2024,Groundnuts,2350.2
Mzuzu,Kazomba,Mzimba South,Mzimba,January,2024,Groundnuts,
Mzuzu,Mbawa,Mzimba South,Embangweni,January,2024,Groundnuts,
Mzuzu,Champhira,Mzimba South,Jenda,January,2024,Groundnuts,2335.2
Mzuzu,Mpamba,Nkhata Bay,Mpamba,January,2024,Groundnuts,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,January,2024,Groundnuts,1208.15
Mzuzu,Chintheche,Nkhata Bay,Chintheche,January,2024,Groundnuts,1637.83
Salima,Nkhunga,Nkhotakota,Dwangwa,January,2024,Groundnuts,2000
Salima,Linga,Nkhotakota,Nkhotakota,January,2024,Groundnuts,2420
Salima,Mwansambo,Nkhotakota,Mwansambo,January,2024,Groundnuts,
Salima,Tembwe,Salima,Salima,January,2024,Groundnuts,3000
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,2024,Groundnuts,2383.3
Kasungu,Malomo,Ntchisi,Malomo,January,2024,Groundnuts,2500
Kasungu,Nachisaka,Dowa East,Dowa,January,2024,Groundnuts,
Kasungu,Mponela,Dowa West,Mponela,January,2024,Groundnuts,
Kasungu,Madisi,Dowa West,Madisi,January,2024,Groundnuts,
Kasungu,Bowe,Dowa West,Bowe,January,2024,Groundnuts,
Kasungu,Nambuma,Dowa West,Nambuma,January,2024,Groundnuts,
Kasungu,Santhe,Kasungu,Santhe,January,2024,Groundnuts,
Kasungu,Chipala,Kasungu,Kasungu,January,2024,Groundnuts,2000
Kasungu,Chamama,Kasungu,Chamama,January,2024,Groundnuts,3600
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,2024,Groundnuts,1500
Kasungu,Kaluluma,Kasungu,Chatoloma,January,2024,Groundnuts,2891.34
Kasungu,Mkanda,Mchinji,Mkanda,January,2024,Groundnuts,
Kasungu,Zulu,Mchinji,Mchinji,January,2024,Groundnuts,
Lilongwe,Chilaza,Lilongwe West,Msundwe,January,2024,Groundnuts,
Lilongwe,Demera,Lilongwe West,Kasiya,January,2024,Groundnuts,2333.3
Lilongwe,Chitsime,Lilongwe East,Lilongwe,January,2024,Groundnuts,
Lilongwe,Mitundu,Lilongwe West,Mitundu,January,2024,Groundnuts,2000
Lilongwe,Chitsime,Lilongwe East,Nanjiri,January,2024,Groundnuts,1700
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,January,2024,Groundnuts,
Lilongwe,Lobi,Dedza,Thete,January,2024,Groundnuts,2000
Lilongwe,Mtakataka,Dedza,Mtakataka,January,2024,Groundnuts,1200
Lilongwe,Linthipe,Dedza,Chimbiya,January,2024,Groundnuts,2000.36
Lilongwe,Bembeke,Dedza,Bembeke Turn off,January,2024,Groundnuts,1250
Lilongwe,Njolomole,Ntcheu,Lizulu,January,2024,Groundnuts,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,January,2024,Groundnuts,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,January,2024,Groundnuts,
Lilongwe,Nsipe,Ntcheu,Ntcheu,January,2024,Groundnuts,
Lilongwe,Manjawira,Ntcheu,Ntonda,January,2024,Groundnuts,
Machinga,Bazale,Balaka,Balaka,January,2024,Groundnuts,3370.52
Machinga,Chikweo,Machinga,Ntaja,January,2024,Groundnuts,
