ADD,EPA,District ,Market,Month,Year,Wk1,Wk2,Wk3,Wk4,Wk5,Commodity,Price
Karonga,Misuku,Chitipa,Misuku,January,2024,577.78,572.22,527.78,500,,Maize,544.445
Karonga,Kavukuku,Chitipa,Nthalire,January,2024,,,,,,Maize,#DIV/0!
Karonga,Lufita,Chitipa,Chitipa,January,2024,,,,,,Maize,#DIV/0!
Karonga,Mpata,Karonga,Karonga,January,2024,777.67,800.24,764.75,666.66,700,Maize,752.33
Karonga,Vinthukutu,Karonga,Chilumba,January,2024,,601.63,594.44,609.53,655.71,Maize,601.8666667
Mzuzu,Bolero,Rumphi,Rumphi,January,2024,,,,,,Maize,#DIV/0!
Mzuzu,Katowo,Rumphi,Hewe,January,2024,,,,,,Maize,#DIV/0!
Mzuzu,Emsizini,Mzimba North,Mzuzu,January,2024,,,,,,Maize,#DIV/0!
Mzuzu,Kazomba,Mzimba South,Mzimba,January,2024,700,730,726.21,700,720,Maize,714.0525
Mzuzu,Mbawa,Mzimba South,Embangweni,January,2024,,,,,,Maize,#DIV/0!
Mzuzu,Champhira,Mzimba South,Jenda,January,2024,698,676,700,720,689,Maize,698.5
Mzuzu,Mpamba,Nkhata Bay,Mpamba,January,2024,,,,,,Maize,#DIV/0!
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,January,2024,833.3,833.33,833.33,833.33,833.33,Maize,833.3225
Mzuzu,Chintheche,Nkhata Bay,Chintheche,January,2024,942.41,943.37,944.11,944.4,944.44,Maize,943.5725
Salima,Nkhunga,Nkhotakota,Dwangwa,January,2024,1000,1000,1000,1000,1000,Maize,1000
Salima,Linga,Nkhotakota,Nkhotakota,January,2024,900,900,900,900,,Maize,900
Salima,Mwansambo,Nkhotakota,Mwansambo,January,2024,,,,,,Maize,#DIV/0!
Salima,Tembwe,Salima,Salima,January,2024,900,900,900,918.37,900,Maize,904.5925
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Malomo,Ntchisi,Malomo,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Nachisaka,Dowa East,Dowa,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Mponela,Dowa West,Mponela,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Madisi,Dowa West,Madisi,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Bowe,Dowa West,Bowe,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Nambuma,Dowa West,Nambuma,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Santhe,Kasungu,Santhe,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Chipala,Kasungu,Kasungu,January,2024,750,,,,,Maize,750
Kasungu,Chamama,Kasungu,Chamama,January,2024,750,,,,,Maize,750
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,2024,600,,,,,Maize,600
Kasungu,Kaluluma,Kasungu,Chatoloma,January,2024,648.91,,,,,Maize,648.91
Kasungu,Mkanda,Mchinji,Mkanda,January,2024,,,,,,Maize,#DIV/0!
Kasungu,Zulu,Mchinji,Mchinji,January,2024,,,,,,Maize,#DIV/0!
