ADD,EPA,District ,Market,Month,Year,Commodity,Price
Karonga,Misuku,Chitipa,Misuku,January,2024,Rice,1369.19
Karonga,Kavukuku,Chitipa,Nthalire,January,2024,Rice,
Karonga,Lufita,Chitipa,Chitipa,January,2024,Rice,
Karonga,Mpata,Karonga,Karonga,January,2024,Rice,1667.45
Karonga,Vinthukutu,Karonga,Chilumba,January,2024,Rice,1713.21
Mzuzu,Bolero,Rumphi,Rumphi,January,2024,Rice,
Mzuzu,Katowo,Rumphi,Hewe,January,2024,Rice,
Mzuzu,Emsizini,Mzimba North,Mzuzu,January,2024,Rice,2288.9
Mzuzu,Kazomba,Mzimba South,Mzimba,January,2024,Rice,
Mzuzu,Mbawa,Mzimba South,Embangweni,January,2024,Rice,
Mzuzu,Champhira,Mzimba South,Jenda,January,2024,Rice,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,January,2024,Rice,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,January,2024,Rice,1221.34
Mzuzu,Chintheche,Nkhata Bay,Chintheche,January,2024,Rice,1828.71
Salima,Nkhunga,Nkhotakota,Dwangwa,January,2024,Rice,1600
Salima,Linga,Nkhotakota,Nkhotakota,January,2024,Rice,1900
Salima,Mwansambo,Nkhotakota,Mwansambo,January,2024,Rice,
Salima,Tembwe,Salima,Salima,January,2024,Rice,1900
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,2024,Rice,
Kasungu,Malomo,Ntchisi,Malomo,January,2024,Rice,
Kasungu,Nachisaka,Dowa East,Dowa,January,2024,Rice,
Kasungu,Mponela,Dowa West,Mponela,January,2024,Rice,
Kasungu,Madisi,Dowa West,Madisi,January,2024,Rice,
Kasungu,Bowe,Dowa West,Bowe,January,2024,Rice,
Kasungu,Nambuma,Dowa West,Nambuma,January,2024,Rice,
Kasungu,Santhe,Kasungu,Santhe,January,2024,Rice,
Kasungu,Chipala,Kasungu,Kasungu,January,2024,Rice,2000
Kasungu,Chamama,Kasungu,Chamama,January,2024,Rice,2200
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,2024,Rice,2000
Kasungu,Kaluluma,Kasungu,Chatoloma,January,2024,Rice,2000
Kasungu,Mkanda,Mchinji,Mkanda,January,2024,Rice,
Kasungu,Zulu,Mchinji,Mchinji,January,2024,Rice,
Lilongwe,Chilaza,Lilongwe West,Msundwe,January,2024,Rice,
Lilongwe,Demera,Lilongwe West,Kasiya,January,2024,Rice,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,January,2024,Rice,
Lilongwe,Mitundu,Lilongwe West,Mitundu,January,2024,Rice,2200
Lilongwe,Chitsime,Lilongwe East,Nanjiri,January,2024,Rice,
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,January,2024,Rice,
Lilongwe,Lobi,Dedza,Thete,January,2024,Rice,2000
Lilongwe,Mtakataka,Dedza,Mtakataka,January,2024,Rice,1440
Lilongwe,Linthipe,Dedza,Chimbiya,January,2024,Rice,2000.17
Lilongwe,Bembeke,Dedza,Bembeke Turn off,January,2024,Rice,2000
Lilongwe,Njolomole,Ntcheu,Lizulu,January,2024,Rice,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,January,2024,Rice,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,January,2024,Rice,
Lilongwe,Nsipe,Ntcheu,Ntcheu,January,2024,Rice,
Lilongwe,Manjawira,Ntcheu,Ntonda,January,2024,Rice,
Machinga,Bazale,Balaka,Balaka,January,2024,Rice,2029.09
Machinga,Chikweo,Machinga,Ntaja,January,2024,Rice,
Machinga,Mpiya,Machinga,Namwera,January,2024,Rice,1926.9
Machinga,Mbwadzulu,Mangochi,Monkey Bay,January,2024,Rice,2000
Machinga,Nasenga,Mangochi,Mangochi,January,2024,Rice,1900
Machinga,Mtubwi,Machinga,Liwonde,January,2024,Rice,1600
Machinga,Mpokwa,Zomba,Jali,January,2024,Rice,1570.35
Machinga,Ngwelero,Zomba,Mayaka,January,2024,Rice,1500.86
Machinga,Thondwe,Zomba,Zomba,January,2024,Rice,2000.56
Machinga,Thondwe,Zomba,Thondwe,January,2024,Rice,1800.97
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,January,2024,Rice,2038.18
Blantyre,Lunzu,Blantyre,Lunzu,January,2024,Rice,1881.3
Blantyre,Mtonda,Blantyre,Limbe,January,2024,Rice,2008.59
Blantyre,Dwale,Thyolo,Bvumbwe,January,2024,Rice,1900.05
Blantyre,Nkhonjeni,Thyolo,Luncheza,January,2024,Rice,2500
Blantyre,Mwanza,Mwanza,Mwanza,January,2024,Rice,2800
Blantyre,Neno,Neno,Neno,January,2024,Rice,2000
Blantyre,Nkhulambe,Phalombe,Chiringa,January,2024,Rice,
Blantyre,Naminjiwa,Phalombe,Phalombe,January,2024,Rice,1900
Blantyre,Milonde,Mulanje,Muloza,January,2024,Rice,2500
Shirevalley,Mitole,Chikwawa,Chikhwawa,January,2024,Rice,2350
Shirevalley,Mikalango,Chikwawa,Ngabu,January,2024,Rice,2450
Shirevalley,Mbewe,Chikwawa,Nchalo,January,2024,Rice,2400
Shirevalley,Magoti,Nsanje,Bangula,January,2024,Rice,2000
Shirevalley,Zunde,Nsanje,Nsanje,January,2024,Rice,2400
Karonga,Misuku,Chitipa,Misuku,February,2024,Rice,
Karonga,Kavukuku,Chitipa,Nthalire,February,2024,Rice,
Karonga,Lufita,Chitipa,Chitipa,February,2024,Rice,
Karonga,Mpata,Karonga,Karonga,February,2024,Rice,
Karonga,Vinthukutu,Karonga,Chilumba,February,2024,Rice,
Mzuzu,Bolero,Rumphi,Rumphi,February,2024,Rice,
Mzuzu,Katowo,Rumphi,Hewe,February,2024,Rice,1913.79
Mzuzu,Emsizini,Mzimba North,Mzuzu,February,2024,Rice,2278
Mzuzu,Kazomba,Mzimba South,Mzimba,February,2024,Rice,1967
Mzuzu,Mbawa,Mzimba South,Embangweni,February,2024,Rice,
Mzuzu,Champhira,Mzimba South,Jenda,February,2024,Rice,
Mzuzu,Mpamba,Nkhata Bay,Mpamba,February,2024,Rice,
