ADD,EPA,District ,Market,Month,Year,Commodity,Price
Karonga,Misuku,Chitipa,Misuku,January,2024,Soya beans,600.83
Karonga,Kavukuku,Chitipa,Nthalire,January,2024,Soya beans,
Karonga,Lufita,Chitipa,Chitipa,January,2024,Soya beans,
Karonga,Mpata,Karonga,Karonga,January,2024,Soya beans,1842.6
Karonga,Vinthukutu,Karonga,Chilumba,January,2024,Soya beans,
Mzuzu,Bolero,Rumphi,Rumphi,January,2024,Soya beans,
Mzuzu,Katowo,Rumphi,Hewe,January,2024,Soya beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,January,2024,Soya beans,2237
Mzuzu,Kazomba,Mzimba South,Mzimba,January,2024,Soya beans,
Mzuzu,Mbawa,Mzimba South,Embangweni,January,2024,Soya beans,1036.3
Mzuzu,Champhira,Mzimba South,Jenda,January,2024,Soya beans,800
Mzuzu,Mpamba,Nkhata Bay,Mpamba,January,2024,Soya beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,January,2024,Soya beans,833.3
Mzuzu,Chintheche,Nkhata Bay,Chintheche,January,2024,Soya beans,
Salima,Nkhunga,Nkhotakota,Dwangwa,January,2024,Soya beans,1300
Salima,Linga,Nkhotakota,Nkhotakota,January,2024,Soya beans,1100
Salima,Mwansambo,Nkhotakota,Mwansambo,January,2024,Soya beans,
Salima,Tembwe,Salima,Salima,January,2024,Soya beans,1200
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,2024,Soya beans,1000
Kasungu,Malomo,Ntchisi,Malomo,January,2024,Soya beans,1000
Kasungu,Nachisaka,Dowa East,Dowa,January,2024,Soya beans,
Kasungu,Mponela,Dowa West,Mponela,January,2024,Soya beans,
Kasungu,Madisi,Dowa West,Madisi,January,2024,Soya beans,
Kasungu,Bowe,Dowa West,Bowe,January,2024,Soya beans,
Kasungu,Nambuma,Dowa West,Nambuma,January,2024,Soya beans,
Kasungu,Santhe,Kasungu,Santhe,January,2024,Soya beans,
Kasungu,Chipala,Kasungu,Kasungu,January,2024,Soya beans,700
Kasungu,Chamama,Kasungu,Chamama,January,2024,Soya beans,860
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,2024,Soya beans,600
Kasungu,Kaluluma,Kasungu,Chatoloma,January,2024,Soya beans,
Kasungu,Mkanda,Mchinji,Mkanda,January,2024,Soya beans,1000
Kasungu,Zulu,Mchinji,Mchinji,January,2024,Soya beans,1092.6
Lilongwe,Chilaza,Lilongwe West,Msundwe,January,2024,Soya beans,
Lilongwe,Demera,Lilongwe West,Kasiya,January,2024,Soya beans,
Lilongwe,Chitsime,Lilongwe East,Lilongwe,January,2024,Soya beans,
Lilongwe,Mitundu,Lilongwe West,Mitundu,January,2024,Soya beans,1200
Lilongwe,Chitsime,Lilongwe East,Nanjiri,January,2024,Soya beans,900
Lilongwe,Chitekwere,Lilongwe East,Nkhoma,January,2024,Soya beans,
Lilongwe,Lobi,Dedza,Thete,January,2024,Soya beans,1000
Lilongwe,Mtakataka,Dedza,Mtakataka,January,2024,Soya beans,1500
Lilongwe,Linthipe,Dedza,Chimbiya,January,2024,Soya beans,1000.1
Lilongwe,Bembeke,Dedza,Bembeke Turn off,January,2024,Soya beans,587.5
Lilongwe,Njolomole,Ntcheu,Lizulu,January,2024,Soya beans,
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,January,2024,Soya beans,
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,January,2024,Soya beans,
Lilongwe,Nsipe,Ntcheu,Ntcheu,January,2024,Soya beans,
Lilongwe,Manjawira,Ntcheu,Ntonda,January,2024,Soya beans,
Machinga,Bazale,Balaka,Balaka,January,2024,Soya beans,1345.72
Machinga,Chikweo,Machinga,Ntaja,January,2024,Soya beans,
Machinga,Mpiya,Machinga,Namwera,January,2024,Soya beans,1480.74
Machinga,Mbwadzulu,Mangochi,Monkey Bay,January,2024,Soya beans,1550
Machinga,Nasenga,Mangochi,Mangochi,January,2024,Soya beans,1625
Machinga,Mtubwi,Machinga,Liwonde,January,2024,Soya beans,1375
Machinga,Mpokwa,Zomba,Jali,January,2024,Soya beans,1350.29
Machinga,Ngwelero,Zomba,Mayaka,January,2024,Soya beans,1571.13
Machinga,Thondwe,Zomba,Zomba,January,2024,Soya beans,1680.43
Machinga,Thondwe,Zomba,Thondwe,January,2024,Soya beans,1300.14
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,January,2024,Soya beans,1175.4
Blantyre,Lunzu,Blantyre,Lunzu,January,2024,Soya beans,995.46
Blantyre,Mtonda,Blantyre,Limbe,January,2024,Soya beans,1435.01
Blantyre,Dwale,Thyolo,Bvumbwe,January,2024,Soya beans,1200
Blantyre,Nkhonjeni,Thyolo,Luncheza,January,2024,Soya beans,1700
Blantyre,Mwanza,Mwanza,Mwanza,January,2024,Soya beans,1018.19
Blantyre,Neno,Neno,Neno,January,2024,Soya beans,1300
Blantyre,Nkhulambe,Phalombe,Chiringa,January,2024,Soya beans,
Blantyre,Naminjiwa,Phalombe,Phalombe,January,2024,Soya beans,850
Blantyre,Milonde,Mulanje,Muloza,January,2024,Soya beans,1200
Shirevalley,Mitole,Chikwawa,Chikhwawa,January,2024,Soya beans,1350
Shirevalley,Mikalango,Chikwawa,Ngabu,January,2024,Soya beans,
Shirevalley,Mbewe,Chikwawa,Nchalo,January,2024,Soya beans,1400
Shirevalley,Magoti,Nsanje,Bangula,January,2024,Soya beans,
Shirevalley,Zunde,Nsanje,Nsanje,January,2024,Soya beans,
Karonga,Misuku,Chitipa,Misuku,February,2024,Soya beans,
Karonga,Kavukuku,Chitipa,Nthalire,February,2024,Soya beans,
Karonga,Lufita,Chitipa,Chitipa,February,2024,Soya beans,
Karonga,Mpata,Karonga,Karonga,February,2024,Soya beans,
Karonga,Vinthukutu,Karonga,Chilumba,February,2024,Soya beans,
Mzuzu,Bolero,Rumphi,Rumphi,February,2024,Soya beans,1632.73
Mzuzu,Katowo,Rumphi,Hewe,February,2024,Soya beans,
Mzuzu,Emsizini,Mzimba North,Mzuzu,February,2024,Soya beans,1562.6
Mzuzu,Kazomba,Mzimba South,Mzimba,February,2024,Soya beans,735.33
Mzuzu,Mbawa,Mzimba South,Embangweni,February,2024,Soya beans,1332.1
Mzuzu,Champhira,Mzimba South,Jenda,February,2024,Soya beans,816.4
Mzuzu,Mpamba,Nkhata Bay,Mpamba,February,2024,Soya beans,
Mzuzu,Nkhata Bay,Nkhata Bay,Nkhata Bay,February,2024,Soya beans,
Mzuzu,Chintheche,Nkhata Bay,Chintheche,February,2024,Soya beans,
Salima,Nkhunga,Nkhotakota,Dwangwa,February,2024,Soya beans,1300
Salima,Linga,Nkhotakota,Nkhotakota,February,2024,Soya beans,
Salima,Mwansambo,Nkhotakota,Mwansambo,February,2024,Soya beans,1000
Salima,Tembwe,Salima,Salima,February,2024,Soya beans,1500
Kasungu,Chikwatula,Ntchisi,Ntchisi,February,2024,Soya beans,954.2
Kasungu,Malomo,Ntchisi,Malomo,February,2024,Soya beans,
Kasungu,Nachisaka,Dowa East,Dowa,February,2024,Soya beans,
Kasungu,Mponela,Dowa West,Mponela,February,2024,Soya beans,
Kasungu,Madisi,Dowa West,Madisi,February,2024,Soya beans,
Kasungu,Bowe,Dowa West,Bowe,February,2024,Soya beans,
Kasungu,Nambuma,Dowa West,Nambuma,February,2024,Soya beans,
Kasungu,Santhe,Kasungu,Santhe,February,2024,Soya beans,700
Kasungu,Chipala,Kasungu,Kasungu,February,2024,Soya beans,743.3333333
Kasungu,Chamama,Kasungu,Chamama,February,2024,Soya beans,860
