District,Maize,Beans,Cow peas,Dolichus beans ,Soy beans,Ground beans,Paprika,Rice,Pigeon peas,Grams,Sesame ,Field peas,Velvet beans,Chick peas,Wheat,Millet,Sorghum ,Groundnuts,Cassava,Sweet potatoes,Potatoes,NDDF Tobacco,Burley tobacco,Flue cured,Sunflower ,Chillies,Cotton ,Bananas,Mangoes,Oranges,Tangerines,Coffee,Pineapples,Guava,Pawpaws,Peaches,Lemons,Grape fruits,Apples,Avocado pear,Macademia,Tomatoes,Onions,Cabbage,Egg plants,Okra,Cucumber
Mzimba South,135295.115,19956,199,0,13889,98,190.928,38.562,18,,,,,,0,4622.033,0,10327.439,331752.756,172139.037,37084.47,67.908,2554.522,240.938,1547,0,0,52533,25435,2766,423,159,582,4516,872,,,26,46,595,42,29066,10156,10080,,,
Mzimba North,113120.138,6954.054,118.879,0,6089.598,124.852,13.322,0,24,,,,,,0,169.468,4,14236.504,96290.538,81896.257,3644.102,60.53,4718.302,2136.844,6.271,25.978,0,35056,27276,3683,855,0,0,2945,1856.989,,,4,0,1620.327,70,5548.794,975,2461.291,,,
Rumphi ,77748,6773,43,0,1401,78,18.61,77,28,,,,,,0,215,0,8396.3,93696,72032,9522,0,8580.692,56.856,3,143.389,0,38746,29432,516,337,3359.202,3407,1814,1211,,,0,610,649,68,20227,4931,3244,,,
Nkhata Bay,39833,2968.55,46.4,0,136.97,362.8,0,12729,135.8,,,,,,0,617,0,2009.23,805166,138143,4527,196.212,199.6,70.7,0,28.058,0,46942,50997,6147,5702,146.9,4948,2744,4652,,,209,69.3,6336.751,57,12211.68,1967,5957,,,
Likoma,255.1,0,6.2,0,0,3.8,0,4.9,0,,,,,,0,0,0,1.3,2242,350,0,0,0,0,0,0,0,173,1536,21,4.3,0,2.6,59,35,,,0,0,0,0,191.2,0,0,,,
Blantyre,34369,1905,544,127,867,86,,312,38518,,4,140,151,,0,296,6314,5309,85389,185231,808,,80.626,,3,14,38,5207,54711,384,608,,,2566,3447,241,357,,668,15048,,26932,10043,4221,1703,464,7777
Thyolo,60254,10313,1688,225,681,162,,19,55279,,61,1022,2516,,0,30,4128,4141,311599,454039,6187,,,,23,,,69433,48514,6023,2195,,622,5314,8492,4179,4870,,13090,26971,208,32981,2871,31940,6314,378,7175
Mulanje,36175,2460,4154,517,681,373,,3285,81569,348,7,365,6914,847,0,6,15179,4113,389604,696944,606,0.48,102.556,,4932,710,57,66545,42741,5887,2245,,179450,2945,11452,2012,6411,,4140,25643,,72293,8131,22364,20262,757,
Phalombe,52316,6007,2267,622,2268,128,,3710,46282,242,75,,4889,703,0,117,17117,6190,61545,367498,181,91.54,1059.879,,4944,81,,6012,68198,154,75,,,1538,1842,12,208,,722,153,,6541,1921,869,1228,31,5037
mwanza,18772,3156,323,50,63,63,,4,60617,,,,31,,0,188,409,3803,128482,142265,5415,,,,,,35,542,19050,5710,210772,,103,1558,2888,39,2017,,1337,5615,19,6043,2165,2389,1440,354,3686
Chiradzulu,35078,2418,157,289,698,155,,21,31159,,,1219,935,,0,690,10377,2352,31543,112997,,,196.573,,9,60,,1314,51334,257,248,,,4768,4855,674,288,,1384,7902,,14443,2295,2187,1252,84,231
Neno,20054,2039,1116,963,183,5,,15,20961,,79,,0,,85,298,1035,1034,38709,77890,98950,,,,,,486,385,4464,1800,5498,,,332,1210,,261,,278,1484,21,4486,640,722,1560,277,4861
Chitipa,102319,21408,1527,0,7928,744,,698,65,,50,,,,,3032,32,22043,228592,224376,10788,31.381,2475.855,4288,2103,0,0,116310,11200,1444,168,7923,0,1337,1268,,275,,37,2071,,14900,4940,8726,,,
Karonga,67998,645,100,315,36,50,,46385,3301,,1247,,,,,326,53,6718,451783,89866,29581,0,332.535,,2,117,8,44870,43638,2244,3202.2,0,48,1138,2192,,0,,365,0,,10808,0,189,,,
Kasungu,318203,11701,120,,21266,18,,428,57,,,,,,,725,205,30886,597293,440753,281058,3.113,4886.368,3328.406,584,,,225545,67360,30145,1179,,,10629,2300,,,,,,,17757,4615,6157,,,
Mchinji,244792,12229,990,,22887,1258,,2386,65,,,,,,,0,,51465,121918,569772,75578,0,8878.493,2535.209,1781,,,96428,48530,2331,478,,,32379,4228,,,,,,,67050,135487,35838,,,
Dowa East,112759,5680,231,,7808,140,27,9,0,,,,,,,11,10,19120,17758,174863,56380,71.339,2788.556,17.448,22,20,15,34715,4959,3375,1620,,,2752,1223,,,,,,121,69400,16198,38283,,,
Dowa West,147131,3912,174,,10637,215,60,2404,0,,,,,,135,0,,26223,75032,482267,128934,11.356,8157.954,997.481,0,,,40319,46631,2182,932,,,38427,894,,,,,,,39025,10800,15408,,,
Ntchisi,185021,11248,79.312,,22501.957,224.2,0,0,0,,,,,,15,0,,30199,53569,164505.73,124618,194.604,3876.7455,816.82,0,,,37529.408,13271.118,376.547,337.135,7179,,3472,209.2525,,,,,,1312,16910,20313.8,4942,,,
Lilongwe West,246933,9672,598,,19972,814,43,353,12,,,27,,,,,,48795,177421,775366,25813,36.773,16744.888,150.321,92,,,,,,,,,,,,,,,,,,,,,,
Lilongwe East,197507,7319,317,,9115,614,0,88,10,,,0,,,,,,34554,121742,177957,368742,0.978,4981.257,0,,,,,,,,,,,,,,,,,,,,,,,
Dedza,227724,27073,4681,,19720,282,635,8516,142,,,1606,,,,1516,2404,30857,180163,418387,268110,20.652,1365.709,58.362,,,285,,,,,,,,,,,,,,,,,,,,
Ntcheu,81248,10862,3079,,2184,172,0,363,3309,,,431,,,127,8484,1014,16237,41223,190996,,0,4616.55,0,,,251,,,,,,,,,,,,,,,,,,,,
Chikwawa,55804,12132,7259,81,,11,,5931,19000,24,8028,,,,,10066,17655,799,16621,156760,,,,,,,799,1388,103852,1081,13539,,,825,205,,1498,,,,,24572,3150,3667,,602,
