district,analyzed_population,time_period,percentage_population,insecurity_level,insecurity_desc_short,insecurity_desc_long
Balaka,518003.0,October 2024-March 2025,20,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Blantyre,520999.0,October 2024-March 2025,25,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Blantyre city,885237.0,October 2024-March 2025,35,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Chikhwawa,640808.0,October 2024-March 2025,20,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Chiradzulu,396198.0,October 2024-March 2025,30,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Chitipa,260584.0,October 2024-March 2025,80,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Dedza,947812.0,October 2024-March 2025,60,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Dowa,901525.0,October 2024-March 2025,50,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Karonga,414100.0,October 2024-March 2025,50,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Kasungu,972188.0,October 2024-March 2025,40,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Likoma,16302.0,October 2024-March 2025,65,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Lilongwe,1869640.0,October 2024-March 2025,35,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Lilongwe city,1199718.0,October 2024-March 2025,35,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
Machinga,904135.0,October 2024-March 2025,30,1,None or minimal,Households are able to meet essential food andnon-food needs without engaging in atypical and unsustainable strategies toaccess food and income
