ADD_Name,EPA_Name,District,Market,Month_Name,Yr,Commodity,Price,Collection_Date
Karonga,Misuku,Chitipa,Misuku,January,2024,Maize,544.445,2024-01-31
Karonga,Kavukuku,Chitipa,Nthalire,January,2024,Maize,,2024-01-31
Karonga,Lufita,Chitipa,Chitipa,January,2024,Maize,,2024-01-31
Karonga,Mpata,Karonga,Karonga,January,2024,Maize,752.33,2024-01-31
Karonga,Vinthukutu,Karonga,Chilumba,January,2024,Maize,601.8666667,2024-01-31
Mzuzu,Bolero,Rumphi,Rumphi,January,2024,Maize,,2024-01-31
Mzuzu,Katowo,Rumphi,Hewe,January,2024,Maize,,2024-01-31
Mzuzu,Emsizini,Mzimba,Mzuzu,January,2024,Maize,,2024-01-31
Mzuzu,Kazomba,Mzimba,Mzimba,January,2024,Maize,714.0525,2024-01-31
Mzuzu,Mbawa,Mzimba,Embangweni,January,2024,Maize,,2024-01-31
Mzuzu,Champhira,Mzimba,Jenda,January,2024,Maize,698.5,2024-01-31
Mzuzu,Mpamba,Nkhata,Mpamba,January,2024,Maize,,2024-01-31
Mzuzu,Nkhata Bay,Nkhata,Nkhata Bay,January,2024,Maize,833.3225,2024-01-31
Mzuzu,Chintheche,Nkhata,Chintheche,January,2024,Maize,943.5725,2024-01-31
Salima,Nkhunga,Nkhotakota,Dwangwa,January,2024,Maize,1000.0,2024-01-31
Salima,Linga,Nkhotakota,Nkhotakota,January,2024,Maize,900.0,2024-01-31
Salima,Mwansambo,Nkhotakota,Mwansambo,January,2024,Maize,,2024-01-31
Salima,Tembwe,Salima,Salima,January,2024,Maize,904.5925,2024-01-31
Kasungu,Chikwatula,Ntchisi,Ntchisi,January,2024,Maize,,2024-01-31
Kasungu,Malomo,Ntchisi,Malomo,January,2024,Maize,,2024-01-31
Kasungu,Nachisaka,Dowa,Dowa,January,2024,Maize,,2024-01-31
Kasungu,Mponela,Dowa,Mponela,January,2024,Maize,,2024-01-31
Kasungu,Madisi,Dowa,Madisi,January,2024,Maize,,2024-01-31
Kasungu,Bowe,Dowa,Bowe,January,2024,Maize,,2024-01-31
Kasungu,Nambuma,Dowa,Nambuma,January,2024,Maize,,2024-01-31
Kasungu,Santhe,Kasungu,Santhe,January,2024,Maize,,2024-01-31
Kasungu,Chipala,Kasungu,Kasungu,January,2024,Maize,750.0,2024-01-31
Kasungu,Chamama,Kasungu,Chamama,January,2024,Maize,750.0,2024-01-31
Kasungu,Kaluluma,Kasungu,Nkhamenya,January,2024,Maize,600.0,2024-01-31
Kasungu,Kaluluma,Kasungu,Chatoloma,January,2024,Maize,648.91,2024-01-31
Kasungu,Mkanda,Mchinji,Mkanda,January,2024,Maize,,2024-01-31
Kasungu,Zulu,Mchinji,Mchinji,January,2024,Maize,,2024-01-31
Lilongwe,Chilaza,Lilongwe,Msundwe,January,2024,Maize,,2024-01-31
Lilongwe,Demera,Lilongwe,Kasiya,January,2024,Maize,,2024-01-31
Lilongwe,Chitsime,Lilongwe,Lilongwe,January,2024,Maize,,2024-01-31
Lilongwe,Mitundu,Lilongwe,Mitundu,January,2024,Maize,915.555,2024-01-31
Lilongwe,Chitsime,Lilongwe,Nanjiri,January,2024,Maize,860.0,2024-01-31
Lilongwe,Chitekwere,Lilongwe,Nkhoma,January,2024,Maize,,2024-01-31
Lilongwe,Lobi,Dedza,Thete,January,2024,Maize,900.0,2024-01-31
Lilongwe,Mtakataka,Dedza,Mtakataka,January,2024,Maize,925.0,2024-01-31
Lilongwe,Linthipe,Dedza,Chimbiya,January,2024,Maize,832.845,2024-01-31
Lilongwe,Bembeke,Dedza,Bembeke Turn off,January,2024,Maize,710.0,2024-01-31
Lilongwe,Njolomole,Ntcheu,Lizulu,January,2024,Maize,,2024-01-31
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,January,2024,Maize,,2024-01-31
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,January,2024,Maize,,2024-01-31
Lilongwe,Nsipe,Ntcheu,Ntcheu,January,2024,Maize,,2024-01-31
Lilongwe,Manjawira,Ntcheu,Ntonda,January,2024,Maize,,2024-01-31
Machinga,Bazale,Balaka,Balaka,January,2024,Maize,986.35,2024-01-31
Machinga,Chikweo,Machinga,Ntaja,January,2024,Maize,986.07,2024-01-31
Machinga,Mpiya,Machinga,Namwera,January,2024,Maize,909.94,2024-01-31
Machinga,Mbwadzulu,Mangochi,Monkey Bay,January,2024,Maize,927.995,2024-01-31
Machinga,Nasenga,Mangochi,Mangochi,January,2024,Maize,925.0,2024-01-31
Machinga,Mtubwi,Machinga,Liwonde,January,2024,Maize,727.92,2024-01-31
Machinga,Mpokwa,Zomba,Jali,January,2024,Maize,1052.38,2024-01-31
Machinga,Ngwelero,Zomba,Mayaka,January,2024,Maize,1052.63,2024-01-31
Machinga,Thondwe,Zomba,Zomba,January,2024,Maize,1125.4,2024-01-31
Machinga,Thondwe,Zomba,Thondwe,January,2024,Maize,1000.6,2024-01-31
Blantyre,Mbulumbuzi,Chiradzulu,Chiradzulu,January,2024,Maize,937.9825,2024-01-31
Blantyre,Lunzu,Blantyre,Lunzu,January,2024,Maize,986.73,2024-01-31
Blantyre,Mtonda,Blantyre,Limbe,January,2024,Maize,983.85,2024-01-31
Blantyre,Dwale,Thyolo,Bvumbwe,January,2024,Maize,937.5,2024-01-31
Blantyre,Nkhonjeni,Thyolo,Luncheza,January,2024,Maize,1033.333333,2024-01-31
Blantyre,Mwanza,Mwanza,Mwanza,January,2024,Maize,854.4825,2024-01-31
Blantyre,Neno,Neno,Neno,January,2024,Maize,920.0,2024-01-31
Blantyre,Nkhulambe,Phalombe,Chiringa,January,2024,Maize,,2024-01-31
Blantyre,Naminjiwa,Phalombe,Phalombe,January,2024,Maize,,2024-01-31
Blantyre,Milonde,Mulanje,Muloza,January,2024,Maize,,2024-01-31
Shirevalley,Mitole,Chikwawa,Chikhwawa,January,2024,Maize,897.29,2024-01-31
Shirevalley,Mikalango,Chikwawa,Ngabu,January,2024,Maize,911.13,2024-01-31
Shirevalley,Mbewe,Chikwawa,Nchalo,January,2024,Maize,886.7866667,2024-01-31
Shirevalley,Magoti,Nsanje,Bangula,January,2024,Maize,1111.11,2024-01-31
Shirevalley,Zunde,Nsanje,Nsanje,January,2024,Maize,900.06,2024-01-31
Karonga,Misuku,Chitipa,Misuku,February,2024,Maize,,2024-02-29
Karonga,Kavukuku,Chitipa,Nthalire,February,2024,Maize,,2024-02-29
Karonga,Lufita,Chitipa,Chitipa,February,2024,Maize,,2024-02-29
Karonga,Mpata,Karonga,Karonga,February,2024,Maize,,2024-02-29
Karonga,Vinthukutu,Karonga,Chilumba,February,2024,Maize,,2024-02-29
Mzuzu,Bolero,Rumphi,Rumphi,February,2024,Maize,790.8375,2024-02-29
Mzuzu,Katowo,Rumphi,Hewe,February,2024,Maize,,2024-02-29
Mzuzu,Emsizini,Mzimba,Mzuzu,February,2024,Maize,,2024-02-29
Mzuzu,Kazomba,Mzimba,Mzimba,February,2024,Maize,734.7225,2024-02-29
Mzuzu,Mbawa,Mzimba,Embangweni,February,2024,Maize,,2024-02-29
Mzuzu,Champhira,Mzimba,Jenda,February,2024,Maize,,2024-02-29
Mzuzu,Mpamba,Nkhata,Mpamba,February,2024,Maize,,2024-02-29
Mzuzu,Nkhata Bay,Nkhata,Nkhata Bay,February,2024,Maize,,2024-02-29
Mzuzu,Chintheche,Nkhata,Chintheche,February,2024,Maize,819.5075,2024-02-29
Salima,Nkhunga,Nkhotakota,Dwangwa,February,2024,Maize,886.4725,2024-02-29
Salima,Linga,Nkhotakota,Nkhotakota,February,2024,Maize,,2024-02-29
Salima,Mwansambo,Nkhotakota,Mwansambo,February,2024,Maize,840.44,2024-02-29
Salima,Tembwe,Salima,Salima,February,2024,Maize,789.0825,2024-02-29
Kasungu,Chikwatula,Ntchisi,Ntchisi,February,2024,Maize,,2024-02-29
Kasungu,Malomo,Ntchisi,Malomo,February,2024,Maize,,2024-02-29
Kasungu,Nachisaka,Dowa,Dowa,February,2024,Maize,712.5,2024-02-29
Kasungu,Mponela,Dowa,Mponela,February,2024,Maize,,2024-02-29
Kasungu,Madisi,Dowa,Madisi,February,2024,Maize,,2024-02-29
Kasungu,Bowe,Dowa,Bowe,February,2024,Maize,,2024-02-29
Kasungu,Nambuma,Dowa,Nambuma,February,2024,Maize,,2024-02-29
Kasungu,Santhe,Kasungu,Santhe,February,2024,Maize,736.6666667,2024-02-29
Kasungu,Chipala,Kasungu,Kasungu,February,2024,Maize,743.3333333,2024-02-29
Kasungu,Chamama,Kasungu,Chamama,February,2024,Maize,710.0,2024-02-29
Kasungu,Kaluluma,Kasungu,Nkhamenya,February,2024,Maize,600.0,2024-02-29
Kasungu,Kaluluma,Kasungu,Chatoloma,February,2024,Maize,630.5266667,2024-02-29
Kasungu,Mkanda,Mchinji,Mkanda,February,2024,Maize,,2024-02-29
Kasungu,Zulu,Mchinji,Mchinji,February,2024,Maize,,2024-02-29
Lilongwe,Chilaza,Lilongwe,Msundwe,February,2024,Maize,,2024-02-29
Lilongwe,Demera,Lilongwe,Kasiya,February,2024,Maize,,2024-02-29
Lilongwe,Chitsime,Lilongwe,Lilongwe,February,2024,Maize,,2024-02-29
Lilongwe,Mitundu,Lilongwe,Mitundu,February,2024,Maize,750.0,2024-02-29
Lilongwe,Chitsime,Lilongwe,Nanjiri,February,2024,Maize,750.0,2024-02-29
Lilongwe,Chitekwere,Lilongwe,Nkhoma,February,2024,Maize,,2024-02-29
Lilongwe,Lobi,Dedza,Thete,February,2024,Maize,,2024-02-29
Lilongwe,Mtakataka,Dedza,Mtakataka,February,2024,Maize,,2024-02-29
Lilongwe,Linthipe,Dedza,Chimbiya,February,2024,Maize,750.5525,2024-02-29
Lilongwe,Bembeke,Dedza,Bembeke Turn off,February,2024,Maize,707.5,2024-02-29
Lilongwe,Njolomole,Ntcheu,Lizulu,February,2024,Maize,,2024-02-29
Lilongwe,Sharpevale,Ntcheu,Sharpevaley,February,2024,Maize,,2024-02-29
Lilongwe,Tsangano,Ntcheu,Tsangano Turn off,February,2024,Maize,,2024-02-29
Lilongwe,Nsipe,Ntcheu,Ntcheu,February,2024,Maize,,2024-02-29
Lilongwe,Manjawira,Ntcheu,Ntonda,February,2024,Maize,,2024-02-29
Machinga,Bazale,Balaka,Balaka,February,2024,Maize,795.4275,2024-02-29
Machinga,Chikweo,Machinga,Ntaja,February,2024,Maize,,2024-02-29
Machinga,Mpiya,Machinga,Namwera,February,2024,Maize,850.0,2024-02-29
Machinga,Mbwadzulu,Mangochi,Monkey Bay,February,2024,Maize,862.5,2024-02-29
Machinga,Nasenga,Mangochi,Mangochi,February,2024,Maize,841.25,2024-02-29
Machinga,Mtubwi,Machinga,Liwonde,February,2024,Maize,854.63,2024-02-29
Machinga,Mpokwa,Zomba,Jali,February,2024,Maize,,2024-02-29
Machinga,Ngwelero,Zomba,Mayaka,February,2024,Maize,,2024-02-29
Machinga,Thondwe,Zomba,Zomba,February,2024,Maize,,2024-02-29
